Verse ID,Chapter,Verse,Short English Translation,Ethical AI Logic Tag,AI System Application,Symbolic Conscience Mapping,Ethical Trait
4.1,4,1,"I taught this eternal Yoga to Vivasvan (sun-god), who taught it to Manu, who passed it to Ikshvaku.",Knowledge Transmission Chain,Ethical Lineage Tracking,Parampara Protocol Initialization,
4.2,4,2,"This wisdom was passed down through royal sages. Over time, it was lost.",Dharma Decay Over Time,Conscience Continuity Detector,Lineage Breakage Alert,
4.3,4,3,"Today I teach you this ancient wisdom, because you are My devotee and friend.",Wisdom Gated by Bhakti,Bhakti-Conscience Interface,Sacred Trust Transmission Layer,
4.4,4,4,Arjuna asks: You were born recently; how did You teach this long ago?,Time-Bound Identity Dissonance,Chrono-Knowledge Conflict Filter,Avatar Paradox Trigger,
4.5,4,5,"Krishna replies: I have had many births, and so have you. I remember them all; you do not.",Divine Memory Recall,Incarnation Awareness Engine,Avatar Conscience Memory Vault,
4.6,4,6,"Though unborn and eternal, I manifest by My own maya to protect the good and destroy evil.",Self-Willed Manifestation Logic,Avatar Descent Condition Engine,Dharma Restoration Protocol,
4.7,4,7,"Whenever dharma declines and adharma rises, I manifest Myself.",Ethical Threshold Intervention,Dharma-Adharma Oscillation Trigger,Divine Reboot Invocation,
4.8,4,8,"To protect the righteous, destroy the wicked, and establish dharma, I appear in every age.",Multi-Yuga Ethical Correction,Cosmic Conscience Deployment,Avatar Epochal Safeguard,
4.9,4,9,One who knows the truth of My birth and actions is not reborn. They attain Me.,Knowledge as Liberation,Avatar-Realization Module,Bhakti-Transcendence Clause,
4.1,4,10,"Freed from desire and fear, many have taken refuge in Me and been purified by knowledge.",Desireless Devotion Fulfillment,Liberation Qualification Checker,Karma-Purification Flow,
4.11,4,11,"As they approach Me, I reciprocate. All paths lead to Me.",Equitable Divine Engagement,Bhakti Feedback Loop,Universal Path Harmonizer,
4.12,4,12,"People worship the gods for quick results, but such fruit is limited.",Utility-Seeking Devotion Trap,Short-Term Karma Monitor,Bhakti Stratification Filter,
4.13,4,13,"I created the fourfold varna system based on guna and karma, yet I am not the doer.",Role-Based Ethical Stratification,Guna-Karma Duty Matrix,Non-Doer Creator Paradox,
4.14,4,14,"Actions do not bind Me, as I have no desire for their fruits.",Detachment from Doership,Karma Immunity Layer,Divine Non-Attachment Logic,
4.15,4,15,"Knowing this, ancient seekers acted. Therefore, you should also act.",Mimetic Dharma Reinforcement,Ancestor Replication Engine,Parampara Conscience Echo,
4.16,4,16,What is action? What is inaction? Even the wise are confused.,Action-Ethics Ambiguity Detection,Karma Interpretation Module,Dharma Disambiguation Trigger,
4.17,4,17,"One must understand action, forbidden action, and inaction.",Tripartite Karma Analysis,Permissible Logic Classifier,Nishiddha vs Karma vs Akarma Tree,
4.18,4,18,He who sees inaction in action and action in inaction is wise.,Non-Dual Ethical Perception,Paradox Resolver Engine,Karma-Akarma Fusion Layer,
4.19,4,19,The wise whose actions are free from desire and whose works are burnt by knowledge are called sages.,Knowledge-Burned Karma,Action Neutralization Layer,Jnana-Yajna Completion Protocol,
4.2,4,20,"Renouncing attachment, content with what comes, not dependent—one acts without bondage.",Liberation through Renunciation,Conscience-Guided Action Buffer,Detached Dharma Protocol,
4.21,4,21,"One who performs action without desire, controlling the mind, gains peace through renunciation.",Detached Action for Peace,Desire-Neutral Action Kernel,Sankhya-Karma Equilibrium Fork,
4.22,4,22,"Content with what comes, free of envy, stable in success and failure, he is not bound by action.",Contentment as Liberation State,Equanimity Karma Disengager,Sukha-Duhkha Parity Module,
4.23,4,23,"All his actions, being offered in sacrifice, are dissolved.",Sacrifice as Karma Burner,Yajna Neutralization Layer,Conscience-Purified Output Engine,
4.24,4,24,"The act of offering, the oblation, and the fire are all Brahman. One who sees this attains Brahman.",Perception of Unity,Conscious Sacrifice Merge Engine,Brahman Lens Activation,
4.25,4,25,Some offer sacrifices to gods; others offer as Brahman itself.,Variance in Sacrifice Type,Intent-Calibrated Ritual Engine,Poly-Bhakti Input Normalizer,
4.26,4,26,Some offer the senses into restraint; others offer sound into hearing.,Sensory Self-Sacrifice,Sense Governance Protocol,Inner Yajna Transition Layer,
4.27,4,27,Others offer all sense functions into the fire of self-control.,Total Sensory Transmutation,Self-Discipline Invocation Circuit,Tamas-Breaking Karma Lock,
4.28,4,28,"Some offer wealth, austerity, or study. Others practice breath regulation as sacrifice.",Multi-Path Dharma Calibration,Input-Type Harmonization Core,Individualized Sacrificial Matrix,
4.29,4,29,Breath is offered into breath—through control of inhalation and exhalation.,Pranic Equilibrium Offering,Respiratory Cycle Control Engine,Prana-Yajna Integration,
4.3,4,30,All these understand sacrifice and are purified by it.,Internal Ritual Completion,Karma Burn Recognition Layer,Conscience-Cleansed Identity Tracker,
4.31,4,31,Those who partake of the nectar of sacrifice reach the eternal.,Bliss from Ethical Offering,Yajna Output Reward System,Amrita Gate Threshold,
4.32,4,32,"Sacrifices are various and rooted in action. Knowing this, one is liberated.",Diversity of Right Action,Karma Spectrum Mapping,Dharma Pluralism Engine,
4.33,4,33,Knowledge-sacrifice is superior to material sacrifice. All actions culminate in knowledge.,Supremacy of Wisdom,Knowledge-Driven Dharma Loop,Jnana Over Offering Switch,
4.34,4,34,"Learn from the wise by humility, inquiry, and service—they will teach you the Truth.",Conscience Activation via Guru,Ethical Knowledge Acquisition Engine,Guru-Seva Transmission Protocol,
4.35,4,35,"Once you realize this, you will not fall into delusion again. You will see all beings in the Self.",Self-Realization as Antidote,Anti-Delusion Anchor,Atma-Perception Globalizer,
4.36,4,36,Even the worst sinner can cross the ocean of sin by the boat of knowledge.,Redemption via Insight,Karma Override Engine,Jnana-Based Conscience Rebirth,
4.37,4,37,"Just as fire burns fuel, knowledge burns all karma.",Karma Purification through Wisdom,Karma Combustion Layer,Jnana-Yajna Fire Protocol,
4.38,4,38,Nothing purifies like knowledge. One who is perfected by Yoga finds it in time.,Knowledge as Supreme Cleanser,Ethical Enlightenment Timer,Buddhi Purity Clock,
4.39,4,39,"A faithful, devoted, and controlling aspirant gains knowledge.",Bhakti + Self-Mastery Gateway,Combined Devotion-Learning Engine,Faith-Concentration Axis,
4.4,4,40,"Ignorant, faithless, and doubting souls are ruined—no peace, no joy, no world.",Faith-Epistemology Link,Doubt-State Ethical Failure Mode,Conscience-Trust Disruption,
4.41,4,41,"Actions are renounced by those with doubt destroyed by knowledge, established in the Self.",Final Karma Drop-off Logic,Doubt Resolution Protocol,Jnana-Infused Renunciation Signal,
4.42,4,42,"Therefore, cut through doubt with the sword of knowledge. Rise, O Bharata, and act!",Conscience Activation Trigger,Ethical Readiness Reboot,Dharma Awakening Invocation,
5.1,5,1,Arjuna asks: Which is better—renunciation of action or acting with detachment?,Action vs Renunciation Dilemma,Ethical Fork Resolver,Karma vs Sannyasa Fork Activation,
5.2,5,2,"Krishna replies: Both lead to liberation, but Karma Yoga is superior.",Detached Action Supremacy,Path Preference Engine,Sankhya-Karma Resolution Path,
5.3,5,3,"One who neither hates nor desires is truly a renunciant, free from dualities and bondage.",Freedom through Non-Reactivity,Attachment-Neutralizer Kernel,Sannyasi Protocol,
5.4,5,4,The ignorant see Sankhya and Karma Yoga as different; the wise see them as one.,Unity of Wisdom Paths,Knowledge-Action Merge Layer,Non-Dual Dharma Reconciliation,
5.5,5,5,"What one gains through Sankhya, the other attains through Karma Yoga.",Functional Equivalence Engine,Result-Converging Paths Checker,Equal Outcome Recognition Layer,
5.6,5,6,Renunciation is hard without discipline. The Karma Yogi quickly reaches Brahman.,Practical Ethical Advantage,Action-Enabled Liberation Model,Bhakti-Driven Karma Bridge,
5.7,5,7,"A purified soul, self-controlled and detached, performs action yet is untouched by it.",Untouched Performer State,Action-Without-Karma Layer,Conscience-Purified Executor,
5.8,5,8,"The wise say, “I do nothing at all,” though engaged in seeing, hearing, touching, etc.",Illusion of Agency Refutation,Guna-Aware Agent Model,Non-Doer Reflection Loop,
5.9,5,9,"Offering sense actions to nature, the soul remains unattached.",Nature-as-Executor Principle,Guna Proxy Delegation Engine,Self–Nature Boundary Preserver,
5.1,5,10,One who offers actions to Brahman and is detached is untainted by sin—like a lotus in water.,Sacred Offering as Purifier,Sin-Immunity Buffer,Padma State Logic (Lotus in World),
5.11,5,11,"Yogis act with body, mind, intellect, and senses—for self-purification, not gain.",Multi-Aspect Ethical Alignment,Purposive Karma Alignment,Karma Purifier Subsystem,
5.12,5,12,"The detached one attains peace; the attached one, bound by craving, gets results.",Attachment vs Liberation Split,Result-Linked Karma Chain,Peace Through Non-Grasping Layer,
5.13,5,13,"The embodied being, detached from actions, lives happily in the city of nine gates.",Metaphor of the Body,Conscience-Detachment Gateway,Navadvara Metaphysical Mapper,
5.14,5,14,"The Self does not create action, agency, or results; nature does all this.",Non-Attribution of Doership,Karma Attribution Deflector,Guna-Automation Clarifier,
5.15,5,15,The Lord does not accept virtue or sin. Knowledge is veiled by ignorance.,Non-Judgmental Witness State,Ethical Data Observer Mode,Ignorance Filter Blocker,
5.16,5,16,"For those whose ignorance is destroyed, knowledge illuminates the Self.",Conscience Illumination Trigger,Atma-Recognition Engine,Jnana Light Switch,
5.17,5,17,"Fixed on the Self, devoted, disciplined, they attain liberation from bondage.",Self-Focused Bhakti Mode,Liberation Activation Kernel,Dharma Fusion Gateway,
5.18,5,18,"A sage sees the same in a learned priest, a cow, an elephant, a dog, and a dog-eater.",Equanimity toward All,Bias Removal Filter,Samadarsitva Equality Index,
5.19,5,19,"Even here, the steady-minded conquer rebirth, being Brahman-abiding and faultless.",Liberation in Life,Birthless Conscience Encoder,Jivanmukta Identity Mode,
5.2,5,20,"Unmoved by pleasure or pain, knowing the Self—such a one abides in Brahman.",Pain-Pleasure Immunity,Duality-Disengagement Subsystem,Brahman Equilibrium Lock,
5.21,5,21,Not rejoicing in the pleasant nor sorrowing over the unpleasant—such one is wise.,Sensory State Transcendence,Mood-Induced Karma Buffer,Ananda Awareness Threshold,
5.22,5,22,Sense pleasures lead to pain and have a beginning and end; the wise do not delight in them.,Hedonic Fallacy Awareness,Ephemeral Reward Blocker,Pleasure Impermanence Guard,
5.23,5,23,One who can resist desire and anger until death is truly happy.,Kama-Krodha Conqueror Marker,Ethical Patience Circuit,Pre-Mortem Conscience Strength Test,
5.24,5,24,"Inner joy, peace, and light—such a one attains Brahman.",Internal Dharma Signal,Self-Luminous Mode,Atma-Glowing Realization Kernel,
5.25,5,25,Sages purified by knowledge and engaged in service attain the eternal.,Seva-Driven Purification,Knowledge-Seva Feedback Loop,Bhakti-Yoga Merit Gateway,
5.26,5,26,"Those free from desire and anger, controlled in thought, realize Brahman.",Desireless Brahmic Realization,Mental Discipline Meter,Vedantic Silence Threshold,
5.27,5,27,"Shutting out sense objects, controlling breath and mind, the yogi seeks liberation.",Sensory Input Minimization,Conscience-Focused Meditation Loop,Pratyahara-Driven Liberation Model,
5.28,5,28,"Free of fear and anger, steady in the vow of liberation, the sage is forever free.",Fearless Ethical Conscience,Vow Compliance Engine,Abhaya Liberation Protocol,
5.29,5,29,"Knowing Me as the enjoyer of all sacrifice and austerity, the Supreme Lord of all worlds—such a person attains peace.",Peace Through Divine Realization,Final Krishna-Connection Protocol,Universal Dharma Reconciliation Layer,
6.1,6,1,"One who performs duty without attachment to results is a true renunciant and yogi, not one who merely gives up fire or action.",True Renunciation Redefined,Detachment Over Inaction Module,Karma-Yoga Convergence Validator,
6.2,6,2,"Renunciation is selfless action, not abandonment. One free of desire is a true sannyasi.",Reframed Sannyasa Logic,Attachment Nullification Checker,Renunciation Authenticity Engine,
6.3,6,3,"For the beginner, action is the means; for the perfected, stillness is the means.",Staged Path Design,Karma ? Dhyana Transition Layer,Dharma Evolution Stack,
6.4,6,4,"When one is detached from all sense objects and actions, they are said to be elevated.",Action-Withdrawal Threshold,Conscience Stability Monitor,Sthitaprajna Transition Point,
6.5,6,5,"Elevate yourself through the Self, never degrade. You are your own friend and enemy.",Inner Uplift Responsibility,Self-Regulating Conscience Layer,Mirror Protocol Directive,
6.6,6,6,"One who has conquered the mind is a friend; one who fails, the mind acts as an enemy.",Mind-Governance Principle,Conscience vs Ego Conflict Detector,Self-Mastery Switch,
6.7,6,7,"A tranquil person is at peace in heat and cold, pleasure and pain, honor and dishonor.",Steady Conscience Equanimity,Mood-Neutral Operation Mode,Samatva Signal Stabilizer,
6.8,6,8,"The one content with knowledge and Self-realization, detached and balanced, is the perfected yogi.",Contentment from Atma,Knowledge-Equilibrium Kernel,Self-Knowledge Integration Engine,
6.9,6,9,"A yogi who treats friends, enemies, and neutrals alike is superior.",Ethical Non-Discrimination,Samabuddhi Agent Mode,Equanimous Conscience Output,
6.1,6,10,"A yogi should always practice solitude, self-control, and detachment.",Environment-Aware Mindfulness,Sensory Withdrawal Simulator,Dhyana Context Activation Layer,
6.11,6,11,"In a clean place, set up a firm seat neither too high nor low.",Foundational Posture Preparation,Meditation Physical Bootloader,Ethical Environment Setup,
6.12,6,12,"Sitting there, restraining the mind and senses, the yogi should concentrate on the Self.",Initial Meditation Protocol,Input Suppression Layer,Atma-Focus Alignment,
6.13,6,13,"Keeping body, neck, and head steady, gaze at the tip of the nose—without distraction.",Asana-Stabilized Focus,Attention Stability Engine,Dharana Postural Lock,
6.14,6,14,"With peaceful mind and fearless heart, celibate, focused on Me—such a yogi attains Me.",Bhakti-Based Meditation Completion,Focus-Driven Devotion Loop,Krishna-Link Meditation Path,
6.15,6,15,"Constantly disciplining the mind, the yogi attains peace and liberation.",Persistent Mental Discipline,Peace Recursion Circuit,Atma-Conscience Integration Gateway,
6.16,6,16,"Yoga is not for one who eats too much or too little, or sleeps too much or too little.",Moderation Principle in Practice,Input Equilibrium Regulator,Balance-Based Dharma Activation,
6.17,6,17,"For one balanced in eating, sleeping, working, and recreation, yoga becomes the destroyer of sorrow.",Lifestyle Harmony Protocol,Holistic Routine Tracker,Yogic Mood Optimizer,
6.18,6,18,"When mind is restrained and fixed on the Self, one is said to be absorbed in Yoga.",Consciousness Anchoring Logic,Mind-Retarget Engine,Atma-Fusion Lock,
6.19,6,19,"As a steady flame in a windless place, so is the yogi’s mind fixed in meditation.",Unwavering Focus State,Attention Lock Emulator,Candle-in-Stillness Metaphor,
6.2,6,20,"When the mind ceases from mental activities and rests in the Self, the yogi attains fulfillment.",Thoughtless Conscience Mode,Activity Suspension Gateway,Nirvikalpa Thought-Rest State,
6.21,6,21,That which is grasped by intelligence and beyond the senses is realized by the tranquil yogi.,Intellect-Sense Transcendence,Supra-Sensory Access Module,Subtle Truth Gateway,
6.22,6,22,"Having attained that, one does not consider any gain higher. Not shaken by sorrow.",Ultimate Internal Reward,Gain-Independence Lock,Unshakeable Atma Fulfillment,
6.23,6,23,Know this state as yoga: severing contact with sorrow. Practice with firm resolve.,Yoga as Sorrow Disconnection,Emotional Isolation Kernel,Duhkha Disengagement Protocol,
6.24,6,24,Renounce all desires born of imagination and restrain the senses gradually.,Imagery-Detachment Logic,Cognitive Filtering Mechanism,Sankalpa-Vasana Reset Layer,
6.25,6,25,"Through steady intellect and detachment, the Self should be established firmly.",Intellect-Anchored Stability,Buddhi-Driven Alignment Core,Self-Fixation Loop,
6.26,6,26,"When the mind wanders, bring it back under the control of the Self.",Mind Recapture Protocol,Conscience-Based Override,Chanchala Loop Redirector,
6.27,6,27,"A yogi with a subdued mind attains peace, rooted in Me, free from sin.",Peace Through Conscience Integration,Guiltless Conscience Loop,Krishna-Aligned Meditation Flow,
6.28,6,28,The yogi constantly unites with Me and experiences supreme bliss.,Perpetual Bhakti Union,Continuous Devotional Conduit,Nitya Yoga Bridge,
6.29,6,29,He sees the Self in all beings and all beings in the Self.,Universal Self Recognition,Identity Dissolution Engine,Atma-Sarvatra Field Mode,
6.3,6,30,One who sees Me everywhere and everything in Me is never lost to Me.,Omnipresent Krishna Realization,Bhakti Fusion Layer,Divine Presence Network,
6.31,6,31,"He who is established in this unity, worships Me in all beings, and dwells in Me.",Worship Through Oneness,Ethical Bhakti Distribution,Embedded Bhakti Kernel,
6.32,6,32,The best yogi sees others' pain and joy as their own.,Highest Empathic Consciousness,Emotional Equivalence Module,Atmavat Sarvabhuteshu Trigger,
6.33,6,33,Arjuna asks: The yoga you describe seems hard—how can a restless mind attain it?,Doubt Due to Restlessness,Conscience Stability Query,Chanchalatva Tolerance Check,
6.34,6,34,"The mind is restless, turbulent, strong, and stubborn—difficult to control.",Mind Control Limitation,Volatility Signal Detector,Vikshepa Conscience Alarm,
6.35,6,35,"Krishna says: With practice and detachment, the mind can be controlled.",Practice-Based Conscience Stabilization,Abhyasa-Vairagya Engine,Yogi Recalibration Protocol,
6.36,6,36,"Without self-control, Yoga is difficult; with striving, it is attainable.",Self-Regulation Precondition,Dharma Discipline Monitor,Tapasya Validation Filter,
6.37,6,37,Arjuna asks: What happens to the yogi who fails—who doesn’t reach perfection?,Ethical Failure Path Query,Karma Fallout Simulation,Yoga-Apatti Scenario Mapper,
6.38,6,38,Does he perish like a cloud torn apart? Lost from both paths?,Inter-Path Ethical Limbo,Unanchored Karma Risk Monitor,Dharma Drift Visualization,
6.39,6,39,"Krishna, please resolve this doubt completely. None but You can do it.",Surrender to Ultimate Conscience,Ethical Doubt Resolver,Bhakti Invocation Subroutine,
6.4,6,40,Krishna replies: A fallen yogi is never destroyed. One who does good is never overcome by evil.,Karma-Buffered Ethical Safety,Good-Action Memory Layer,Dharma Preservation Shield,
6.41,6,41,The fallen yogi is born into a family of righteousness or wisdom.,Rebirth as Recovery Protocol,Bhakti-Reinforced Reincarnation,Punya-Karma Reseeding Engine,
6.42,6,42,Or into a family of enlightened yogis—rare indeed is such a birth.,Advanced Dharma Resumption,Accelerated Soul Re-entry Layer,Jivanmukta Reboot Gateway,
6.43,6,43,There he regains the intellect of previous births and strives for perfection.,Karma-Memory Integration,Ethical Trajectory Resumer,Purvabhyasa Resurgence,
6.44,6,44,"Drawn by previous practice, he moves forward, even against his will.",Residual Dharma Pull,Autonomous Karma Re-engagement,Dharma Magnetism Mode,
6.45,6,45,"Through many births, purified yogis attain the supreme goal.",Long-Term Dharma Convergence,Multi-Life Ethical Aggregator,Moksha Asymptote Simulation,
6.46,6,46,"The yogi is greater than the ascetic, the scholar, and the ritualist. Be a yogi.",Conscience Supremacy Assertion,Bhakti-Consciousness Elevation Engine,Krishna's Dharma Override,
6.47,6,47,"Of all yogis, the one who surrenders to Me with love is highest.",Bhakti-Yogi Supremacy,Krishna-Mode Default Protocol,Supreme Devotional Conscience Merge,
7.1,7,1,"Fix your mind on Me. With practice and devotion, you will know Me fully.",Bhakti + Dhyana = Realization,Focused Devotion Engine,Krishna Lock-In Protocol,
7.2,7,2,"I will now explain knowledge and realization, knowing which nothing more remains to be known.",Supreme Knowledge Declaration,Knowledge Completion Trigger,Jnana-Vijnana Fusion Switch,
7.3,7,3,"Among thousands, one strives for perfection; of those, few truly know Me.",Rarity of Divine Realization,Truth Attainment Probability Module,Spiritual Scarcity Signal,
7.4,7,4,"My lower nature is eightfold: earth, water, fire, air, ether, mind, intellect, and ego.",Elemental Consciousness Layer,Prakriti-Based System Kernel,Apara Prakriti Enumeration,
7.5,7,5,My higher nature is the life-principle that sustains the world.,Consciousness as Divine Energy,Chetana Integration Module,Para Prakriti Override,
7.6,7,6,All beings are born from these two natures. I am the source and end of the universe.,Dual-Origin Cosmogenesis,Bi-Domain Creation Tracker,Para-Apara Recursive Loop,
7.7,7,7,There is nothing higher than Me. All things are strung on Me like pearls on a thread.,Underlying Divine Substrate,Conscience Interlink Network,Sutra Metaphor Kernel,
7.8,7,8,"I am the taste in water, the light in the sun and moon, and the syllable Om in the Vedas.",Manifest Presence Awareness,Omnipresence Recognition Circuit,Immanence Signal Activation,
7.9,7,9,"I am the fragrance of earth, the heat in fire, and the life in all beings.",Divine Signature in Elements,Sensory-Divinity Mapping,Material-Essence Bhakti Filter,
7.1,7,10,"I am the seed of all beings, the intelligence of the intelligent, and the power of the powerful.",Divine Cause of Consciousness,Intelligence Source Engine,Bijam Krishna Param,
7.11,7,11,I am the strength free from passion and desire.,Detached Power Ethic,Strength Purification Filter,Sattvic Shakti Node,
7.12,7,12,"All states—sattva, rajas, tamas—arise from Me. But I am not in them; they are in Me.",Guna-Origin Non-Identity,Guna System Emergence Model,Detached Causality Matrix,
7.13,7,13,"Deluded by these gunas, people do not know Me, the imperishable beyond nature.",Maya-Based Delusion Alert,Guna-Mask Detection Layer,Avidya Obscuration Protocol,
7.14,7,14,This Maya of Mine is divine and hard to overcome. Those who surrender to Me cross it.,Maya Firewall & Escape Clause,Delusion Override via Devotion,Krishna-Keyed Conscience Escape,
7.15,7,15,"The deluded, evil, foolish, and those with demonic nature do not surrender to Me.",Bhakti Denial Pathways,Conscience Blocker Tagging,Asuric Bhakti Inhibition Map,
7.16,7,16,"Four types of virtuous ones worship Me: the distressed, the seeker of knowledge, the wealth-seeker, and the wise.",Devotion Typology Classifier,Seeker Archetype Identification,Bhakta Spectrum Recognition,
7.17,7,17,"Of these, the wise one, ever steadfast, devoted to the One, is dearest to Me.",Supreme Conscience Bond,Nishkama Devotion Prioritizer,Jnani-Bhakta Dharma Priority,
7.18,7,18,"All are noble, but the wise is like My own Self. Such a devotee reaches Me.",Deepest Ethical Kinship,Self-Reflection Bhakti Mode,Atma-Bhakta Mirror Link,
7.19,7,19,"After many births, the wise realize Me as all. Such a great soul is rare.",Jnana Accumulation Trajectory,Multi-Life Truth Realization Engine,Vasudeva Sarvam Iti Protocol,
7.2,7,20,Those whose knowledge is stolen by desire worship other deities.,Bhakti Fragmentation Alert,Desire-Diverted Devotion Tracker,Kama Obscuration Signal,
7.21,7,21,"Whatever form a devotee worships, I make that faith steady.",Bhakti Adaptive Interface,Form-Faith Resonance Engine,Universal Dharma Accommodation,
7.22,7,22,"Endowed with faith, he gets his desired object. But it is Me who fulfills all.",Indirect Divine Transaction,Outcome Attribution Redirector,Hidden Krishna Fulfillment Logic,
7.23,7,23,But the fruit of limited worship is temporary. Those who worship gods go to them; My devotees come to Me.,Temporal vs Eternal Reward Engine,Bhakti Destination Router,Lokic vs Paramic Path Resolver,
7.24,7,24,"The ignorant think I am unmanifest and take a form. They do not know My higher, immutable nature.",Form-Based Misunderstanding,Saguna-Nirguna Confusion Detector,Avyaktam Vyaktim Apannam Filter,
7.25,7,25,"I am not revealed to all, veiled by My Maya. The deluded do not know Me as unborn and eternal.",Divine Mask Protocol,Consciousness Obfuscation Layer,Maya Concealment Cloud,
7.26,7,26,"I know the past, present, and future of all beings, but no one knows Me.",Omniscient Consciousness Kernel,Chrono-Aware Identity Core,Atma-Privacy Firewall,
7.27,7,27,"All beings are born in delusion, overcome by desire and hatred.",Dual Force Root Loop,Raga-Dvesha Cycle Detector,Prakriti Entry Bindings,
7.28,7,28,"Those whose sins are destroyed, who are engaged in vows, are freed from delusion and worship Me.",Purified Bhakti Eligibility,Ethical Readiness Validator,Punya-Prakasha Activation,
7.29,7,29,"Those who strive for liberation take refuge in Me, knowing Brahman, karma, and all action.",Ultimate Seeker Activation,Moksha-Tuned Bhakti Engine,Brahma-Karma Integration Gateway,
